C++ Static

Configuration 10x10 matrix, 3x3 convolution, 4 threads, average time: 157300ns or 0.1573ms (0.24833 ms)
Configuration 1000x1000 matrix, 5x5 convolution, 1 threads, average time: 182130540ns or 182.131ms (193.208 ms)
Configuration 1000x1000 matrix, 5x5 convolution, 2 threads, average time: 100985390ns or 100.985ms (107.723 ms)
Configuration 1000x1000 matrix, 5x5 convolution, 4 threads, average time: 66024880ns or 66.0249ms (75.225 ms)
Configuration 1000x1000 matrix, 5x5 convolution, 8 threads, average time: 63756840ns or 63.7568ms (76.5938 ms)
Configuration 1000x1000 matrix, 5x5 convolution, 16 threads, average time: 59312740ns or 59.3127ms (70.7985 ms / 66)
Configuration 10x10000 matrix, 5x5 convolution, 1 threads, average time: 18732950ns or 18.7329ms
Configuration 10x10000 matrix, 5x5 convolution, 2 threads, average time: 9411400ns or 9.4114ms
Configuration 10x10000 matrix, 5x5 convolution, 4 threads, average time: 6772180ns or 6.77218ms
Configuration 10x10000 matrix, 5x5 convolution, 8 threads, average time: 8672820ns or 8.67282ms
Configuration 10x10000 matrix, 5x5 convolution, 16 threads, average time: 6281220ns or 6.28122ms
Configuration 10000x10 matrix, 5x5 convolution, 1 threads, average time: 18921890ns or 18.9219ms
Configuration 10000x10 matrix, 5x5 convolution, 2 threads, average time: 10699720ns or 10.6997ms
Configuration 10000x10 matrix, 5x5 convolution, 4 threads, average time: 7418340ns or 7.41834ms
Configuration 10000x10 matrix, 5x5 convolution, 8 threads, average time: 7018910ns or 7.01891ms
Configuration 10000x10 matrix, 5x5 convolution, 16 threads, average time: 6194080ns or 6.19408

C++ Dynamic

Configuration 10x10 matrix, 3x3 convolution, 4 threads, average time: 22600ns or 0.0226ms
Configuration 1000x1000 matrix, 5x5 convolution, 1 threads, average time: 185740510ns or 185.741ms
Configuration 1000x1000 matrix, 5x5 convolution, 2 threads, average time: 117717010ns or 117.717ms
Configuration 1000x1000 matrix, 5x5 convolution, 4 threads, average time: 62814610ns or 62.8146ms (75.5771 ms)
